constituency,title,detail,reg,cap
1,เขตเลือกตั้งที่ 1,"เขตพระนคร, เขตป้อมปราบศัตรูพ่าย, เขตสัมพันธวงศ์, เขตดุสิต (ยกเว้นแขวงถนนนครไชยศรี), เขตบางรัก",8,8
2,เขตเลือกตั้งที่ 2,"เขตสาทร, เขตปทุมวัน, เขตราชเทวี",6,6
3,เขตเลือกตั้งที่ 3,"เขตบางคอแหลม, เขตยานนาวา",8,8
4,เขตเลือกตั้งที่ 4,"เขตคลองเตย, เขตวัฒนา",7,7
5,เขตเลือกตั้งที่ 5,"เขตห้วยขวาง, เขตวังทองหลาง (ยกเว้นแขวงคลองเจ้าคุณสิงห์)",5,5
6,เขตเลือกตั้งที่ 6,"เขตพญาไท, เขตดินแดง",7,7
7,เขตเลือกตั้งที่ 7,"เขตบางซื่อ, เขตดุสิต (เฉพาะแขวงถนนนครไชยศรี)",8,8
8,เขตเลือกตั้งที่ 8,"เขตหลักสี่ (ยกเว้นแขวงตลาดบางเขน), เขตจตุจักร (ยกเว้นแขวงจันทรเกษมและแขวงเสนานิคม)",6,6
9,เขตเลือกตั้งที่ 9,"เขตบางเขน (ยกเว้นแขวงท่าแร้ง), เขตจตุจักร (เฉพาะแขวงจันทรเกษมและแขวงเสนานิคม), เขตหลักสี่ (เฉพาะแขวงตลาดบางเขน)",7,7
10,เขตเลือกตั้งที่ 10,เขตดอนเมือง,7,7
11,เขตเลือกตั้งที่ 11,เขตสายไหม (ยกเว้นแขวงออเงิน),6,6
12,เขตเลือกตั้งที่ 12,"เขตสายไหม (เฉพาะแขวงออเงิน), เขตบางเขน (เฉพาะแขวงท่าแร้ง), เขตลาดพร้าว (เฉพาะแขวงจรเข้บัว)",7,7
13,เขตเลือกตั้งที่ 13,"เขตลาดพร้าว (ยกเว้นแขวงจรเข้บัว), เขตบึงกุ่ม (ยกเว้นแขวงคลองกุ่ม)",3,3
14,เขตเลือกตั้งที่ 14,"เขตวังทองหลาง (เฉพาะแขวงคลองเจ้าคุณสิงห์), เขตบางกะปิ",8,8
15,เขตเลือกตั้งที่ 15,"เขตคันนายาว, เขตบึงกุ่ม (เฉพาะแขวงคลองกุ่ม)",1,1
16,เขตเลือกตั้งที่ 16,เขตคลองสามวา (ยกเว้นแขวงสามวาตะวันออก และแขวงทรายกองดินใต้),8,8
17,เขตเลือกตั้งที่ 17,"เขตหนองจอก (ยกเว้นแขวงโคกแฝด แขวงลำผักชี และแขวงลำต้อยติ่ง), เขตคลองสามวา (เฉพาะแขวงสามวาตะวันออก และแขวงทรายกองดินใต้)",5,5
18,เขตเลือกตั้งที่ 18,"เขตหนองจอก (เฉพาะแขวงโคกแฝด แขวงลำผักชี และแขวงลำต้อยติ่ง), เขตลาดกระบัง (เฉพาะแขวงลำปลาทิว), เขตมีนบุรี (เฉพาะแขวงแสนแสบ)",7,7
19,เขตเลือกตั้งที่ 19,"เขตมีนบุรี (ยกเว้นแขวงแสนแสบ), เขตสะพานสูง (ยกเว้นแขวงทับช้าง)",8,8
20,เขตเลือกตั้งที่ 20,เขตลาดกระบัง (ยกเว้นแขวงลำปลาทิว),0,0
21,เขตเลือกตั้งที่ 21,"เขตประเวศ (ยกเว้นแขวงหนองบอน), เขตสะพานสูง (เฉพาะแขวงทับช้าง)",6,6
22,เขตเลือกตั้งที่ 22,"เขตสวนหลวง, เขตประเวศ (เฉพาะแขวงหนองบอน)",2,2
23,เขตเลือกตั้งที่ 23,"เขตพระโขนง, เขตบางนา",8,8
24,เขตเลือกตั้งที่ 24,"เขตธนบุรี (ยกเว้นแขวงวัดกัลยาณ์ แขวงหิรัญรูจี และแขวงบางยี่เรือ), เขตคลองสาน, เขตราษฎร์บูรณะ (เฉพาะแขวงบางปะกอก)",6,6
25,เขตเลือกตั้งที่ 25,"เขตทุ่งครุ, เขตราษฎร์บูรณะ (ยกเว้นแขวงบางปะกอก)",7,7
26,เขตเลือกตั้งที่ 26,"เขตบางขุนเทียน (เฉพาะแขวงท่าข้าม), เขตจอมทอง (ยกเว้นแขวงบางขุนเทียน)",7,7
27,เขตเลือกตั้งที่ 27,"เขตบางบอน (เฉพาะแขวงบางบอนใต้ และแขวงคลองบางบอน), เขตบางขุนเทียน (ยกเว้นแขวงท่าข้าม)",8,8
28,เขตเลือกตั้งที่ 28,"เขตจอมทอง (เฉพาะแขวงบางขุนเทียน), เขตบางบอน (ยกเว้นแขวงบางบอนใต้ และแขวงคลองบางบอน), เขตหนองแขม (เฉพาะแขวงหนองแขม)",8,8
29,เขตเลือกตั้งที่ 29,"เขตบางแค (เฉพาะแขวงบางแคเหนือ และแขวงบางไผ่), เขตหนองแขม (ยกเว้นแขวงหนองแขม)",8,8
30,เขตเลือกตั้งที่ 30,"เขตบางแค (ยกเว้นแขวงบางแคเหนือ และแขวงบางไผ่), เขตภาษีเจริญ (เฉพาะแขวงบางหว้า แขวงบางด้วน และแขวงคลองขวาง)",0,0
31,เขตเลือกตั้งที่ 31,"เขตทวีวัฒนา, เขตตลิ่งชัน (ยกเว้นแขวงบางเชือกหนัง)",8,8
32,เขตเลือกตั้งที่ 32,"เขตบางกอกน้อย (เฉพาะแขวงศิริราช), เขตบางกอกใหญ่, เขตภาษีเจริญ (ยกเว้นแขวงบางหว้า แขวงบางด้วน และแขวงคลองขวาง), เขตตลิ่งชัน (เฉพาะแขวงบางเชือกหนัง), เขตธนบุรี (เฉพาะแขวงวัดกัลยาณ์ แขวงหิรัญรูจี และแขวงบางยี่เรือ)",6,6
33,เขตเลือกตั้งที่ 33,"เขตบางพลัด, เขตบางกอกน้อย (ยกเว้นแขวงศิริราช)",8,8
