district,reg1,reg2,cap2,cap1
คลองสาน,85,9,12,252
คลองสามวา,522,15,24,666
คลองเตย,112,3,12,309
คันนายาว,121,17,12,315
จตุจักร,485,8,24,528
จอมทอง,235,9,24,558
ดอนเมือง,362,16,12,552
ดินแดง,227,6,12,408
ดุสิต,323,14,24,330
ตลิ่งชัน,446,29,24,456
ทวีวัฒนา,204,2,12,306
ทุ่งครุ,316,20,12,387
ธนบุรี,167,15,24,408
บางกอกน้อย,146,8,24,369
บางกอกใหญ่,98,12,12,258
บางกะปิ,394,28,12,471
บางขุนเทียน,427,35,24,561
บางคอแหลม,181,12,12,318
บางซื่อ,355,11,12,429
บางนา,128,19,12,324
บางบอน,274,6,24,315
บางพลัด,172,9,12,348
บางรัก,50,3,12,153
บางเขน,580,14,24,606
บางแค,468,37,24,663
บึงกุ่ม,203,2,24,465
ปทุมวัน,67,5,12,159
ประเวศ,502,17,24,591
ป้อมปราบศัตรูพ่าย,55,10,12,150
พญาไท,96,2,12,240
พระนคร,88,4,12,189
พระโขนง,131,2,12,360
ภาษีเจริญ,320,31,24,378
มีนบุรี,383,7,24,459
ยานนาวา,140,20,12,321
ราชเทวี,151,9,12,231
ราษฎร์บูรณะ,137,16,24,303
ลาดกระบัง,563,31,24,576
ลาดพร้าว,302,5,24,429
วังทองหลาง,169,5,24,405
วัฒนา,99,14,12,270
สวนหลวง,396,10,12,450
สะพานสูง,197,3,24,330
สัมพันธวงศ์,36,4,12,78
สาทร,188,4,12,294
สายไหม,366,11,24,720
หนองจอก,590,46,24,657
หนองแขม,252,27,24,489
หลักสี่,135,12,24,366
ห้วยขวาง,105,14,12,342
